Date : 2026-03-07 22:31:58
Directory : c:\Users\M-\Desktop\React route\Applications\my-shop\src
Total : 133 files,  10735 codes, 513 comments, 1570 blanks, all 12818 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| TypeScript JSX |         89 |      9,498 |        468 |      1,327 |     11,293 |
| TypeScript     |         43 |      1,049 |         26 |        193 |      1,268 |
| PostCSS        |          1 |        188 |         19 |         50 |        257 |
+----------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                    | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| features\products\api                                                                                                   |          1 |         20 |          0 |          3 |         23 |
| features\products\components                                                                                            |          1 |         65 |          0 |         11 |         76 |
| features\products\hooks                                                                                                 |          2 |         41 |          0 |          9 |         50 |
| features\products\screens                                                                                               |          6 |        812 |          8 |        141 |        961 |
| features\products\types                                                                                                 |          1 |         21 |          1 |          3 |         25 |
| features\products\utils                                                                                                 |          1 |         31 |          0 |          5 |         36 |
| features\reviews                                                                                                        |          3 |         61 |          0 |         10 |         71 |
| features\reviews\api                                                                                                    |          1 |         38 |          0 |          7 |         45 |
| features\reviews\hooks                                                                                                  |          2 |         23 |          0 |          3 |         26 |
| features\search                                                                                                         |         12 |      1,174 |         28 |        152 |      1,354 |
| features\search\api                                                                                                     |          1 |         10 |          0 |          2 |         12 |
| features\search\components                                                                                              |          6 |        708 |         10 |         79 |        797 |
| features\search\data                                                                                                    |          1 |        120 |          0 |          2 |        122 |
| features\search\hooks                                                                                                   |          2 |         20 |          0 |          2 |         22 |
| features\search\screens                                                                                                 |          1 |        306 |         18 |         66 |        390 |
| features\search\types                                                                                                   |          1 |         10 |          0 |          1 |         11 |
| features\wishlist                                                                                                       |          8 |        574 |         20 |        101 |        695 |
| features\wishlist\api                                                                                                   |          1 |         14 |         12 |          8 |         34 |
| features\wishlist\hooks                                                                                                 |          5 |        169 |          1 |         42 |        212 |
| features\wishlist\screens                                                                                               |          1 |        376 |          7 |         49 |        432 |
| features\wishlist\types                                                                                                 |          1 |         15 |          0 |          2 |         17 |
| lib                                                                                                                     |          4 |        119 |          8 |         21 |        148 |
| providers                                                                                                               |          2 |         99 |          3 |         15 |        117 |
| styles                                                                                                                  |          1 |        188 |         19 |         50 |        257 |
+-------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| filename                                                                                                                | language       | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| c:\Users\M-\Desktop\React route\Applications\my-shop\src\app\(shop)\account\addresses\page.tsx                          | TypeScript JSX |          4 |          0 |          1 |          5 |
| c:\Users\M-\Desktop\React route\Applications\my-shop\src\app\(shop)\account\details\page.tsx                            | TypeScript JSX |          4 |          0 |          1 |          5 |
| c:\Users\M-\Desktop\React route\Applications\my-shop\src\app\(shop)\account\page.tsx                                    | TypeScript JSX |          4 |          0 |          1 |          5 |
| c:\Users\M-\Desktop\React route\Applications\my-shop\src\app\(shop)\brands\[id]\page.tsx                                | TypeScript JSX |         10 |          0 |          3 |         13 |
| c:\Users\M-\Desktop\React route\Applications\my-shop\src\app\(shop)\brands\page.tsx                                     | TypeScript JSX |          4 |          0 |          1 |          5 |
| c:\Users\M-\Desktop\React route\Applications\my-shop\src\app\(shop)\cart\page.tsx                                       | TypeScript JSX |          4 |          0 |          1 |          5 |
| c:\Users\M-\Desktop\React route\Applications\my-shop\src\app\(shop)\categories\[id]\page.tsx                            | TypeScript JSX |         10 |          0 |          3 |         13 |
| c:\Users\M-\Desktop\React route\Applications\my-shop\src\app\(shop)\categories\page.tsx                                 | TypeScript JSX |          4 |          0 |          1 |          5 |
| c:\Users\M-\Desktop\React route\Applications\my-shop\src\app\(shop)\checkout\page.tsx                                   | TypeScript JSX |          4 |          0 |          1 |          5 |
| c:\Users\M-\Desktop\React route\Applications\my-shop\src\app\(shop)\devtools\page.tsx                                   | TypeScript JSX |         64 |          1 |         10 |         75 |
| c:\Users\M-\Desktop\React route\Applications\my-shop\src\app\(shop)\forgot-password\page.tsx                            | TypeScript JSX |          4 |          0 |          1 |          5 |
| c:\Users\M-\Desktop\React route\Applications\my-shop\src\app\(shop)\layout.tsx                                          | TypeScript JSX |         11 |          0 |          1 |         12 |
| c:\Users\M-\Desktop\React route\Applications\my-shop\src\app\(shop)\loading.tsx                                         | TypeScript JSX |         34 |          5 |          5 |         44 |
| c:\Users\M-\Desktop\React route\Applications\my-shop\src\app\(shop)\login\page.tsx                                      | TypeScript JSX |          4 |          0 |          1 |          5 |
| c:\Users\M-\Desktop\React route\Applications\my-shop\src\app\(shop)\orders\[id]\page.tsx                                | TypeScript JSX |          5 |          0 |          2 |          7 |
| c:\Users\M-\Desktop\React route\Applications\my-shop\src\app\(shop)\page.tsx                                            | TypeScript JSX |          4 |          0 |          1 |          5 |
| c:\Users\M-\Desktop\React route\Applications\my-shop\src\app\(shop)\product\[id]\ProductDetailsClient.tsx               | TypeScript JSX |          9 |          0 |          3 |         12 |
| c:\Users\M-\Desktop\React route\Applications\my-shop\src\app\(shop)\product\[id]\page.tsx                               | TypeScript JSX |          8 |          0 |          2 |         10 |
| c:\Users\M-\Desktop\React route\Applications\my-shop\src\app\(shop)\products\[id]\page.tsx                              | TypeScript JSX |          5 |          0 |          2 |          7 |
| c:\Users\M-\Desktop\React route\Applications\my-shop\src\app\(shop)\reset-password\page.tsx                             | TypeScript JSX |          4 |          0 |          1 |          5 |
| c:\Users\M-\Desktop\React route\Applications\my-shop\src\app\(shop)\search\page.tsx                                     | TypeScript JSX |          4 |          0 |          1 |          5 |
| c:\Users\M-\Desktop\React route\Applications\my-shop\src\app\(shop)\signup\page.tsx                                     | TypeScript JSX |          4 |          0 |          1 |          5 |
| c:\Users\M-\Desktop\React route\Applications\my-shop\src\app\(shop)\verify-reset-code\page.tsx                          | TypeScript JSX |          4 |          0 |          1 |          5 |
| c:\Users\M-\Desktop\React route\Applications\my-shop\src\app\(shop)\wishlist\page.tsx                                   | TypeScript JSX |          4 |          0 |          1 |          5 |
| c:\Users\M-\Desktop\React route\Applications\my-shop\src\app\layout.tsx                                                 | TypeScript JSX |         33 |          0 |          4 |         37 |
| c:\Users\M-\Desktop\React route\Applications\my-shop\src\app\not-found.tsx                                              | TypeScript JSX |        138 |          8 |         19 |        165 |
| c:\Users\M-\Desktop\React route\Applications\my-shop\src\components\layout\MainLayout.tsx                               | TypeScript JSX |        488 |         24 |         70 |        582 |
| c:\Users\M-\Desktop\React route\Applications\my-shop\src\components\ui\ContextMenu.tsx                                  | TypeScript JSX |        120 |          9 |         24 |        153 |
| c:\Users\M-\Desktop\React route\Applications\my-shop\src\components\ui\ScrollRestorer.tsx                               | TypeScript JSX |         43 |          6 |         17 |         66 |
| c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\account\screens\AccountDashboardScreen.tsx            | TypeScript JSX |        357 |          7 |         29 |        393 |
| c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\account\screens\AccountDetailsScreen.tsx              | TypeScript JSX |        271 |          8 |         26 |        305 |
| c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\account\screens\AddressesScreen.tsx                   | TypeScript JSX |        371 |          6 |         33 |        410 |
| c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\auth\api\auth.api.ts                                  | TypeScript     |         18 |          0 |          5 |         23 |
| c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\auth\components\AuthMarketingSide.tsx                 | TypeScript JSX |         40 |          1 |          2 |         43 |
| c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\auth\components\AuthSocialButtons.tsx                 | TypeScript JSX |         26 |          2 |          5 |         33 |
| c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\auth\components\LoginForm.tsx                         | TypeScript JSX |        149 |          1 |         24 |        174 |
| c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\auth\components\OtpInput.tsx                          | TypeScript JSX |         82 |          2 |         16 |        100 |
| c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\auth\components\SignUpForm.tsx                        | TypeScript JSX |        453 |         15 |         41 |        509 |
| c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\auth\hooks\useAuthToken.ts                            | TypeScript     |         22 |          4 |          8 |         34 |
| c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\auth\hooks\useLogin.ts                                | TypeScript     |          7 |          0 |          1 |          8 |
| c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\auth\hooks\useSignup.ts                               | TypeScript     |          7 |          0 |          1 |          8 |
| c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\auth\screens\ForgotPasswordScreen.tsx                 | TypeScript JSX |        178 |        218 |         84 |        480 |
| c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\auth\screens\LoginScreen.tsx                          | TypeScript JSX |         82 |          4 |         11 |         97 |
| c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\auth\screens\RegisterScreen.tsx                       | TypeScript JSX |          7 |          0 |          0 |          7 |
| c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\auth\screens\ResetPasswordScreen.tsx                  | TypeScript JSX |        232 |          6 |         15 |        253 |
| c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\auth\screens\SignUpScreen.tsx                         | TypeScript JSX |         59 |          4 |          8 |         71 |
| c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\auth\screens\VerifyResetCodeScreen.tsx                | TypeScript JSX |        165 |          5 |         31 |        201 |
| c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\auth\utils\auth-storage.ts                            | TypeScript     |         19 |          0 |          4 |         23 |
| c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\brands\api\brands.api.ts                              | TypeScript     |         29 |          0 |          5 |         34 |
| c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\brands\components\BecomePartnerSection.tsx            | TypeScript JSX |         25 |          0 |          4 |         29 |
| c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\brands\components\BrandsGridSection.tsx               | TypeScript JSX |         35 |          1 |          3 |         39 |
| c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\brands\components\BrandsHeroSection.tsx               | TypeScript JSX |         18 |          1 |          3 |         22 |
| c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\brands\components\BrandsSortDropdown.tsx              | TypeScript JSX |        130 |          4 |         14 |        148 |
| c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\brands\components\FeaturedBrandsSection.tsx           | TypeScript JSX |         38 |          0 |          6 |         44 |
| c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\brands\hooks\useBrandDetails.ts                       | TypeScript     |         16 |          0 |          2 |         18 |
| c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\brands\hooks\useBrands.ts                             | TypeScript     |         10 |          0 |          2 |         12 |
