"filename", "language", "TypeScript JSX", "TypeScript", "PostCSS", "comment", "blank", "total"
"c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\auth\screens\LoginScreen.tsx", "TypeScript JSX", 82, 0, 0, 4, 11, 97
"c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\auth\screens\RegisterScreen.tsx", "TypeScript JSX", 7, 0, 0, 0, 0, 7
"c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\auth\screens\ResetPasswordScreen.tsx", "TypeScript JSX", 232, 0, 0, 6, 15, 253
"c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\auth\screens\SignUpScreen.tsx", "TypeScript JSX", 59, 0, 0, 4, 8, 71
"c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\auth\screens\VerifyResetCodeScreen.tsx", "TypeScript JSX", 165, 0, 0, 5, 31, 201
"c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\auth\utils\auth-storage.ts", "TypeScript", 0, 19, 0, 0, 4, 23
"c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\brands\api\brands.api.ts", "TypeScript", 0, 29, 0, 0, 5, 34
"c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\brands\components\BecomePartnerSection.tsx", "TypeScript JSX", 25, 0, 0, 0, 4, 29
"c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\brands\components\BrandsGridSection.tsx", "TypeScript JSX", 35, 0, 0, 1, 3, 39
"c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\brands\components\BrandsHeroSection.tsx", "TypeScript JSX", 18, 0, 0, 1, 3, 22
"c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\brands\components\BrandsSortDropdown.tsx", "TypeScript JSX", 130, 0, 0, 4, 14, 148
"c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\brands\components\FeaturedBrandsSection.tsx", "TypeScript JSX", 38, 0, 0, 0, 6, 44
"c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\brands\hooks\useBrandDetails.ts", "TypeScript", 0, 16, 0, 0, 2, 18
"c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\brands\hooks\useBrands.ts", "TypeScript", 0, 10, 0, 0, 2, 12
"c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\brands\screens\BrandDetailsScreen.tsx", "TypeScript JSX", 180, 0, 0, 2, 18, 200
"c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\brands\screens\BrandsScreen.tsx", "TypeScript JSX", 349, 0, 0, 4, 43, 396
"c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\cart\api\cart.api.ts", "TypeScript", 0, 21, 0, 0, 5, 26
"c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\cart\api\cartApi.ts", "TypeScript", 0, 5, 0, 0, 1, 6
"c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\cart\hooks\useAddToCart.ts", "TypeScript", 0, 24, 0, 0, 5, 29
"c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\cart\hooks\useCart.ts", "TypeScript", 0, 10, 0, 0, 2, 12
"c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\cart\hooks\useCartCount.ts", "TypeScript", 0, 13, 0, 0, 3, 16
"c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\cart\hooks\useClearCart.ts", "TypeScript", 0, 12, 0, 0, 2, 14
"c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\cart\hooks\useRemoveCartItem.ts", "TypeScript", 0, 41, 0, 0, 11, 52
"c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\cart\hooks\useUpdateCartItemCount.ts", "TypeScript", 0, 50, 0, 0, 13, 63
"c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\cart\screens\CartScreen.tsx", "TypeScript JSX", 359, 0, 0, 0, 55, 414
"c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\cart\screens\CheckoutScreen.tsx", "TypeScript JSX", 7, 0, 0, 0, 0, 7
"c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\cart\screens\WishlistScreen.tsx", "TypeScript JSX", 7, 0, 0, 0, 0, 7
"c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\categories\api\categories.api.ts", "TypeScript", 0, 58, 0, 0, 8, 66
"c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\categories\components\CategoryCard.tsx", "TypeScript JSX", 87, 0, 0, 0, 7, 94
"c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\categories\components\FeaturedCategorySection.tsx", "TypeScript JSX", 87, 0, 0, 0, 9, 96
"c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\categories\components\NewsletterSection.tsx", "TypeScript JSX", 75, 0, 0, 5, 15, 95
"c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\categories\components\PopularSubcategoriesSection.tsx", "TypeScript JSX", 91, 0, 0, 0, 7, 98
"c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\categories\components\SeasonalCategoriesSection.tsx", "TypeScript JSX", 84, 0, 0, 0, 7, 91
"c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\categories\components\SortDropdown.tsx", "TypeScript JSX", 112, 0, 0, 0, 16, 128
"c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\categories\hooks\useCategories.ts", "TypeScript", 0, 20, 0, 0, 3, 23
"c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\categories\hooks\useCategoryDetails.ts", "TypeScript", 0, 16, 0, 0, 2, 18
"c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\categories\screens\CategoriesScreen.tsx", "TypeScript JSX", 114, 0, 0, 0, 21, 135
"c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\categories\screens\CategoryDetailsScreen.tsx", "TypeScript JSX", 218, 0, 0, 3, 29, 250
"c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\checkout\screens\CheckoutScreen.tsx", "TypeScript JSX", 333, 0, 0, 10, 40, 383
"c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\home\components\CategorySection.tsx", "TypeScript JSX", 52, 0, 0, 0, 6, 58
"c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\home\components\DealsSection.tsx", "TypeScript JSX", 65, 0, 0, 0, 10, 75
"c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\home\components\FeaturesBar.tsx", "TypeScript JSX", 48, 0, 0, 0, 3, 51
"c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\home\components\HeroSection.tsx", "TypeScript JSX", 217, 0, 0, 14, 24, 255
"c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\home\components\NewsletterSection.tsx", "TypeScript JSX", 33, 0, 0, 0, 7, 40
"c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\home\components\PopularProducts.tsx", "TypeScript JSX", 53, 0, 0, 0, 9, 62
"c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\home\components\ProductCard.tsx", "TypeScript JSX", 261, 0, 0, 14, 45, 320
"c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\home\components\PromoBanners.tsx", "TypeScript JSX", 95, 0, 0, 8, 13, 116
"c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\orders\screens\OrderDetailsScreen.tsx", "TypeScript JSX", 256, 0, 0, 16, 30, 302
"c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\orders\screens\OrdersScreen.tsx", "TypeScript JSX", 193, 0, 0, 8, 17, 218
"c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\products\api\productsApi.ts", "TypeScript", 0, 20, 0, 0, 3, 23
"c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\products\components\RecentlyViewed.tsx", "TypeScript JSX", 65, 0, 0, 0, 11, 76
"c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\products\hooks\useProduct.ts", "TypeScript", 0, 20, 0, 0, 4, 24
"c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\products\hooks\useProducts.ts", "TypeScript", 0, 21, 0, 0, 5, 26
"c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\products\screens\BrandsScreen.tsx", "TypeScript JSX", 7, 0, 0, 0, 0, 7
"c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\products\screens\CategoriesScreen.tsx", "TypeScript JSX", 7, 0, 0, 0, 0, 7
"c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\products\screens\HomeScreen.tsx", "TypeScript JSX", 43, 0, 0, 2, 10, 55
"c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\products\screens\NotFoundScreen.tsx", "TypeScript JSX", 8, 0, 0, 0, 0, 8
"c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\products\screens\ProductDetailsScreen.tsx", "TypeScript JSX", 740, 0, 0, 6, 130, 876
"c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\products\screens\SearchScreen.tsx", "TypeScript JSX", 7, 0, 0, 0, 1, 8
"c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\products\types\product.types.ts", "TypeScript", 0, 21, 0, 1, 3, 25
"c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\products\utils\recentlyViewed.ts", "TypeScript", 0, 31, 0, 0, 5, 36
"c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\reviews\api\reviews.api.ts", "TypeScript", 0, 38, 0, 0, 7, 45
"c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\reviews\hooks\useAddReview.ts", "TypeScript", 0, 12, 0, 0, 2, 14
"c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\reviews\hooks\useProductReviews.ts", "TypeScript", 0, 11, 0, 0, 1, 12
"c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\search\api\filters.api.ts", "TypeScript", 0, 10, 0, 0, 2, 12
"c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\search\components\FiltersDrawer.tsx", "TypeScript JSX", 55, 0, 0, 0, 6, 61
"c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\search\components\RecentlyViewedStrip.tsx", "TypeScript JSX", 59, 0, 0, 1, 11, 71
"c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\search\components\SearchFiltersSidebar.tsx", "TypeScript JSX", 291, 0, 0, 2, 31, 324
"c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\search\components\SearchPagination.tsx", "TypeScript JSX", 59, 0, 0, 0, 6, 65
"c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\search\components\SearchResultsGrid.tsx", "TypeScript JSX", 64, 0, 0, 3, 8, 75
"c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\search\components\SearchToolbar.tsx", "TypeScript JSX", 180, 0, 0, 4, 17, 201
"c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\search\data\mockSearch.ts", "TypeScript", 0, 120, 0, 0, 2, 122
"c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\search\hooks\useBrands.ts", "TypeScript", 0, 10, 0, 0, 1, 11
"c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\search\hooks\useCategories.ts", "TypeScript", 0, 10, 0, 0, 1, 11
"c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\search\screens\SearchScreen.tsx", "TypeScript JSX", 306, 0, 0, 18, 66, 390
"c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\search\types\filters.types.ts", "TypeScript", 0, 10, 0, 0, 1, 11
"c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\wishlist\api\wishlist.api.ts", "TypeScript", 0, 14, 0, 12, 8, 34
"c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\wishlist\hooks\useAddToWishlist.ts", "TypeScript", 0, 16, 0, 0, 4, 20
"c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\wishlist\hooks\useRemoveFromWishlist.ts", "TypeScript", 0, 11, 0, 0, 2, 13
"c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\wishlist\hooks\useWishlist.ts", "TypeScript", 0, 61, 0, 0, 15, 76
"c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\wishlist\hooks\useWishlistMutations.ts", "TypeScript", 0, 60, 0, 0, 18, 78
"c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\wishlist\hooks\useWishlistProducts.ts", "TypeScript", 0, 21, 0, 1, 3, 25
"c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\wishlist\screens\WishlistScreen.tsx", "TypeScript JSX", 376, 0, 0, 7, 49, 432
"c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\wishlist\types\wishlist.types.ts", "TypeScript", 0, 15, 0, 0, 2, 17
"c:\Users\M-\Desktop\React route\Applications\my-shop\src\lib\authStorage.ts", "TypeScript", 0, 14, 0, 0, 0, 14
"c:\Users\M-\Desktop\React route\Applications\my-shop\src\lib\axios.ts", "TypeScript", 0, 55, 0, 8, 13, 76
"c:\Users\M-\Desktop\React route\Applications\my-shop\src\lib\queryClient.ts", "TypeScript", 0, 10, 0, 0, 1, 11
"c:\Users\M-\Desktop\React route\Applications\my-shop\src\lib\toast.ts", "TypeScript", 0, 40, 0, 0, 7, 47
"c:\Users\M-\Desktop\React route\Applications\my-shop\src\providers\ReactQueryProvider.tsx", "TypeScript JSX", 32, 0, 0, 1, 5, 38
"c:\Users\M-\Desktop\React route\Applications\my-shop\src\providers\ToastProvider.tsx", "TypeScript JSX", 67, 0, 0, 2, 10, 79
"c:\Users\M-\Desktop\React route\Applications\my-shop\src\styles\globals.css", "PostCSS", 0, 0, 188, 19, 50, 257
"Total", "-", 9498, 1049, 188, 513, 1570, 12818
